INTERNAL_PART_#,SHORT_DESC,PROD_CELL_CODE,WORK_CENTER_CODE,DESCRIPTION
2666866200,SDN HCA WIRE PWB,EL2-SMT,EL2C2,SDN./KA./HCA/POWER WIRED BOARD
7698499900,S-13476A D0DY7 TOP,EL2-SMT,EL2C6,PWB ASSY/D0DY7/MONT/TOP
7026815900,S-13477 D0DY7 TOP,EL2-SMT,EL2C6,PWB ASSY/D0DY7/MONT/TOP
5196242700,S-13477 D0DY5 TOP,EL2-SMT,EL2C6,PWB ASSY/D0DY5/MONT/TOP
0332882100,S-13064D D0BTB TOP,EL2-SMT,EL2C5,PWB ASSY/D0BTB/MONT/TOP
2498409502,S-13065C D0BTC TOP,EL2-SMT,EL2C5,PWB(S-13065C)ASSY/D0BTC
3448488000,S-13065C D0BTB TOP,EL2-SMT,EL2C5,PWB ASSY/D0BTB/MONT/TOP
7651802500,T3LA DRL RH PWB TOP,EL2-SMT,EL2C4,PWB SEMI-ASSY/W1013R/MONT/TOP
7651802500,T3LA DRL RH PWB TOP,EL2-SMT,EL1C8,PWB SEMI-ASSY/W1013R/MONT/TOP
7651802500,T3LA DRL RH PWB TOP,EL2-SMT,EL1C8,PWB SEMI-ASSY/W1013R/MONT/TOP
2127086500,S12670 D0ADW EXL BOT,EL2-SMT,EL2C2,PWB ASSY-US/D0ADW/MONT/BOT
3140801600,S-13476A D0DYB TOP,EL2-SMT,EL2C6,PWB ASSY/D0DYB/MONT/TOP
1201108300,S-13477 D0DYB TOP,EL2-SMT,EL2C6,PWB ASSY/D0DYB/MONT/TOP
0686733200,TP6X AMP TOP D0D9Q,EL2-SMT,EL2C4,CDH0411/CNTL CIR-US/D0D9Q/MONT
4666092700,T2AA DRL LH PWB TOP,EL2-SMT,EL2C4,LDU-L-US/D0DE0/MONT/TOP
4666092700,T2AA DRL LH PWB TOP,EL2-SMT,EL1C8,LDU-L-US/D0DE0/MONT/TOP
0149764200,T2AA RC SM PWB3 TOP,EL2-SMT,EL2C2,PWB SEMI-ASSY3/W1001L/MONT/TOP
8202032200,S-13477 D0DYB BOT,EL2-SMT,EL2C6,PWB ASSY/D0DYB/MONT/BOT
6567666402,S-12633D D08TS TOP,EL2-SMT,EL2C7,PWB(S-13040D)-US ASSY/D0AYS
5174050500,S12670 D0CFX EX BOT,EL2-SMT,EL2C2,PWB ASSY-US/D0CFX/MONT/BOT
3075904400,T3LA DRL LH PWB TOP,EL2-SMT,EL2C4,PWB SEMI-ASSY/W1013L/MONT/TOP
3075904400,T3LA DRL LH PWB TOP,EL2-SMT,EL1C8,PWB SEMI-ASSY/W1013L/MONT/TOP
3075904400,T3LA DRL LH PWB TOP,EL2-SMT,EL1C8,PWB SEMI-ASSY/W1013L/MONT/TOP
0908152600,TP6X AMP TOP D0D9U,EL2-SMT,EL2C4,PWB ASSY-US/S-13329/D0D9U/MONT
1863621200,T3LA CHM PWB TOP,EL2-SMT,EL1C8,PWB SEMI-ASSY/W0912M/MONT/TOP
1863621200,T3LA CHM PWB TOP,EL2-SMT,EL2C9,PWB SEMI-ASSY/W0912M/MONT/TOP
8358749000,S12670 D0ADW EXL TOP,EL2-SMT,EL2C7,PWB ASSY-US/D0ADW/MONT/TOP
3912810100,S-13476A D0DY5 TOP,EL2-SMT,EL2C6,PWB ASSY/D0DY5/MONT/TOP
6985968200,TP6X AMP TOP D0D9W,EL2-SMT,EL2C4,CDH0411/CNTL CIR-US/D0D9W/MONT
5611507200,TP6X AMP TOP D0D9X,EL2-SMT,EL2C4,CDH0411/CNTL CIR-US/D0D9X/MONT
6904604500,S-13065C D0BTC BOT,EL2-SMT,EL2C5,PWB ASSY/D0BTC/MONT/BOT
4147670200,S-13476A D0DYB BOT,EL2-SMT,EL2C6,PWB ASSY/D0DYB/MONT/BOT
3211554300,TP6X AMP TOP D0D9S,EL2-SMT,EL1C8,CNTL CIR-US/D0D9S/MONT
6935765200,TP6X AMP BOT,EL2-SMT,EL1C8,CNTL CIR-US/DIV/MONT/BOT
4648479700,S-13065C D0BTB BOT,EL2-SMT,EL2C5,PWB ASSY/D0BTB/MONT/BOT
6136064600,T0G PWB TYPE B BOT,EL2-SMT,EL2C7,AUTO A/C SW-US/D0BUN/MONT/BOT
6632290400,S-13476A D0DY5 BOT,EL2-SMT,EL2C6,PWB ASSY/D0DY5/MONT/BOT
3194833900,TK8 CPU S-12918E TOP,EL2-SMT,EL2C5,PWB ASSY/D0AVR/MONT/TOP
9609545700,PWBSEMIASY1W1001LMON,EL2-SMT,EL2C2,PWB SEMI-ASSY1/W1001L/MONT/BOT
5172636700,S12760 D0CFX EX TOP,EL2-SMT,EL2C7,PWB ASSY-US/D0CFX/MONT/TOP
0649993700,S-13477 D0DY5 BOT,EL2-SMT,EL2C6,PWB ASSY/D0DY5/MONT/BOT
4224778200,TP6X AMP TOP D0D9T,EL2-SMT,EL2C4,CDH0411/CNTL CIR-US/D0D9T/MONT
7481203101,S-12633D,EL2-SMT,EL2C7,PWB(S-12633D)ASSY/D08TS
3650360200,S-12632F D0942 BOT,EL2-SMT,EL2C7,PWB ASSY/D09HB/MONT/TOP
4541106000,01 ELD D01ZJ TOP,EL2-SMT,EL2C2,PWB(S-12483)/D01ZJ/MONT/TOP
8988082300,PWBSEMIASY1W1002LMON,EL2-SMT,EL2C4,PWB SEMI-ASSY1/W1002L/MONT/BOT
5012917900,08 ELD D09J5 TOP,EL2-SMT,EL2C2,PWB(S-12676)ASSY/D09J5/MONT/TO
4612755200,S-13058I D0C67 TOP,EL2-SMT,EL2C7,PWB ASSY-US/D0C67/MONT/TOP
3459937800,S-12636D D08TU BOT,EL2-SMT,EL2C7,PWB ASSY/D08TU/MONT/BOT
2026477200,S-13040D D0AYS TOP,EL2-SMT,EL2C7,PWB ASSY-US/D0AYS/MONT/TOP
7800878400,PWBSEMIASYW1003RMONT,EL2-SMT,EL2C4,PWB SEMI-ASSY/W1003R/MONT/BOT
6666518600,S-13477 D0DY7 BOT,EL2-SMT,EL2C6,PWB ASSY/D0DY7/MONT/BOT
9233053200,S-12633D D08TS BOT,EL2-SMT,EL2C7,PWB ASSY/D08TS/MONT/BOT
5529515800,03 ELD D04HL TOP,EL2-SMT,EL2C2,PWB(S-12485)ASSY/D04HL/MONT/TO
9747400100,00 ELD D00BJ RAD,EL2-SMT,EL2C2,PWB ASSY/D00BJ/INSR/RAD
4360731600,S-13476A D0DY7 BOT,EL2-SMT,EL2C6,PWB ASSY/D0DY7/MONT/BOT
0396653400,S-13058I D0DK5 BOT,EL2-SMT,EL2C7,PWB ASSY-US/D0DK5/MONT/BOT
5788947000,TP6X AMP TOP D0D9V,EL2-SMT,EL2C4,CDH0411/CNTL CIR-US/D0D9V/MONT
5404438000,T3WA DRL LH PWB TOP,EL2-SMT,EL1C8,LDU-L-US/D0E4M/MONT
2355098900,T2AA DRL RH PWB TOP,EL2-SMT,EL2C4,LDU-R-US/D0DE0/MONT/TOP
2355098900,T2AA DRL RH PWB TOP,EL2-SMT,EL1C8,LDU-R-US/D0DE0/MONT/TOP
3530835000,T3WA DRL RH PWB TOP,EL2-SMT,EL1C8,LDU-R-US/D0E4M/MONT
1332650900,S-13019C D0BCN BOT,EL2-SMT,EL2C4,PWB ASSY-US/D0BCN/MONT/BOT
0334865200,S-13064D ASSY D0DTW,EL2-SMT,EL2C5,PWB(S-13064D)ASSY/D0DTW
8798506700,S-13018B D0BCN BOT,EL2-SMT,EL2C4,PWB ASSY-US/D0BCN/MONT/BOT
2815818100,PWBSEMIASY1W1001RMON,EL2-SMT,EL2C2,PWB SEMI-ASSY1/W1001R/MONT/BOT
3378145800,T2AA RC SM PWB3 TOP,EL2-SMT,EL2C2,PWB SEMI-ASSY3/W1001R/MONT/TOP
5270709900,00 ELD D00BJ BOT,EL2-SMT,EL2C2,PWB ASSY/D00BJ/MONT/BOT
2573216200,S-13478- D0DYF BOT,EL2-SMT,EL2C6,PWB ASSY/D0DYF/MONT/BOT
4276284900,S-13064D D0BTB BOT,EL2-SMT,EL2C5,PWB ASSY/D0BTBTMONT/BOT
8537171104,S-13064D D0BTB,EL2-SMT,EL2C5,PWB(S-13064D)ASSY/D0BTB
6651483801,S-13058I DODK5 TOP,EL2-SMT,EL2C7,PWB(S-13058I)-US ASSY/D0DK5
0902914100,PWBSEMIASYW1004LMONT,EL2-SMT,EL2C4,PWB SEMI-ASSY/W1004L/MONT/BOT
5077322100,PWBSEMIASY1W1002RMON,EL2-SMT,EL2C2,PWB SEMI-ASSY1/W1002R/MONT/BOT
8395806500,PWBSEMIASY2W1001RMON,EL2-SMT,EL2C2,PWB SEMI-ASSY2/W1001R/MONT/BOT
2868439800,S-13019C D0BCN TOP,EL2-SMT,EL2C4,PWB ASSY-US/D0BCN/MONT/TOP
4330459300,S-13007C D0BCY BOT,EL2-SMT,EL2C4,PWB ASSY-US/D0BCY/MONT/BOT
3539094400,PWBSEMIASYW1004RMONT,EL2-SMT,EL2C2,PWB SEMI-ASSY/W1004R/MONT/BOT
8391407600,S-13478- D0DYF TOP,EL2-SMT,EL2C6,PWB ASSY/D0DYF/MONT/TOP
0065599600,TK8 CPU S-12918E BOT,EL2-SMT,EL2C5,PWB ASSY/D0AVR/MONT/BOT
1909594000,PWB(S-12636D) TOP,EL2-SMT,EL2C7,PWB ASSY/D08TU/MONT/TOP
7199635200,PWBSEMIASYW1003LMONT,EL2-SMT,EL2C2,PWB SEMI-ASSY/W1003L/MONT/BOT
5603200200,S-12632F D0942 BOT,EL2-SMT,EL2C7,PWB ASSY/D0942/MONT/BOT
5320035400,S-13007C D0BCY TOP,EL2-SMT,EL2C4,PWB ASSY-US/D0BCY/MONT/TOP
3143207300,01 ELD D01ZJ BOT,EL2-SMT,EL2C2,PWB(S-12483)/D01ZJ/MONT/BOT
3702476700,08 ELD D09J5 BOT,EL2-SMT,EL2C2,PWB ASSY/D09J5/MONT/BOT
6476269900,PWBSEMIASY2W1001LMON,EL2-SMT,EL2C2,PWB SEMI-ASSY2/W1001L/MONT/BOT
2185035700,03 ELD D04HL BOT,EL2-SMT,EL2C2,PWB ASSY/D04HL/MONT/BOT
0960658000,S-13018B D0BCN TOP,EL2-SMT,EL2C4,PWB ASSY-US/D0BCN/MONT/TOP
9083020100,LU-SOX/S84-CT-F02,EL2-SMT,EL2C5,PWB ASSY-F/D01R1/MONT/TOP
8896440300,PWBASYD0AEVMONTBOT,EL2-SMT,EL2C5,PWB ASSY/D0AEV/MONT/BOT
6880270900,PWBASYS12916HMNTTOP,EL2-SMT,EL2C6,PWB ASSY/D0AVM/MONT/TOP
6512304500,PWBASYS12917GMNTTOP,EL2-SMT,EL1C8,PWB ASSY/D0AVM/MONT/TOP
6172301300,H8A-CB-AMP,EL2-SMT,EL2C5,PWB-US ASSY/D08TC/MONT/BOT
0279438100,PWBASYS12917GMTTOP,EL2-SMT,EL2C6,PWB ASSY/D0AVE/MONT/TOP
0279438100,PWBASYS12917GMTTOP,EL2-SMT,EL1C8,PWB ASSY/D0AVE/MONT/TOP
4407019700,PWBASYS12916EMNTTOP,EL2-SMT,EL2C6,PWB ASSY/D0AVE/MONT/TOP
4407019700,PWBASYS12916EMNTTOP,EL2-SMT,EL1C8,PWB ASSY/D0AVE/MONT/TOP
7089246400,PWBASSYD0AVEMONTBOT,EL2-SMT,EL2C6,PWB ASSY/D0AVE/MONT/BOT
7089246400,PWBASSYD0AVEMONTBOT,EL2-SMT,EL1C8,PWB ASSY/D0AVE/MONT/BOT
5509816600,H8A-CB-SW,EL2-SMT,EL2C5,PWB-US ASSY/D08TC/MONT/BOT
6782051700,PWBASSYD0AVQMONTBOT,EL2-SMT,EL1C8,PWB ASSY/D0AVQ/MONT/BOT
0126079000,PWBASSYD0AVMMONTBOT,EL2-SMT,EL1C8,PWB ASSY/D0AVM/MONT/BOT
0785170700,PWBASSYD0AVQMONTTOP,EL2-SMT,EL1C8,PWB ASSY/D0AVQ/MONT/TOP
0707559600,PWBASSYD0AVMMONTBOT,EL2-SMT,EL2C6,PWB ASSY/D0AVM/MONT/BOT
2097948800,PWBASSYD0AVEMONTBOT,EL2-SMT,EL2C6,PWB ASSY/D0AVE/MONT/BOT
2097948800,PWBASSYD0AVEMONTBOT,EL2-SMT,EL1C8,PWB ASSY/D0AVE/MONT/BOT
7905731200,PWBASSYD0AVNMONTTOP,EL2-SMT,EL1C8,PWB ASSY/D0AVN/MONT/TOP
0462480700,H8A-CT-AMP C D097Y,EL2-SMT,EL2C4,PWB-US ASSY/D097Y/MONT/TOP
1247193900,PWBASSYD0AVNMONTBOT,EL2-SMT,EL1C8,PWB ASSY/D0AVN/MONT/BOT
0681103500,TZ3A CPU D0DD5 TOP,EL2-SMT,EL2C4,PWB/ASSY/D0DD5/MONT/TOP
3804570900,TZ3A CPU D0E4W TOP,EL2-SMT,EL2C4,PWB ASSY/D0E4W/MONT/TOP
5605833800,TZ3A CPU D0E4W BOT,EL2-SMT,EL2C4,PWB ASSY/D0E4W/MONT/BOT
0916468500,TZ3A CPU D0DD5 BOT,EL2-SMT,EL2C4,PWB ASSY/D0DD5/MONT/BOT
3771871800,T1W HCU FRONT BOT,EL2-SMT,EL2C7,PWB(S-13058K)/D0C67/MONT/BOT
4653107800,T1W HCU FRONT TOP,EL2-SMT,EL2C7,PWB(S-13058K)/D0C67/MONT/TOP
0149764201,T2AA RC SM-3 LH TOP,EL2-SMT,EL1C8,PWB SEMI-ASSY3/W1001L/MONT/TOP
3378145801,T2AA RC SM-3 RH TOP,EL2-SMT,EL1C8,PWB SEMI-ASSY3/W1001R/MONT/TOP
9609545701,PWBSASY1AW1001LMONTB,EL2-SMT,EL2C4,PWB S-ASSY1A/W1001L/MONT/BOT
8988082301,PWBSASY1AW1002LMONTB,EL2-SMT,EL2C2,PWB S-ASSY1A/W1002L/MONT/BOT
7800878401,PWBSASYAW1003RMONTBO,EL2-SMT,EL2C2,PWB S-ASSY(A)/W1003R/MONT/BOT
2815818101,PWBSASY1AW1001RMONTB,EL2-SMT,EL2C4,PWB S-ASSY1A/W1001R/MONT/BOT
0902914101,PWBSASYAW1004LMONTBO,EL2-SMT,EL2C2,PWB S-ASSY(A)/W1004L/MONT/BOT
5077322101,PWBSASY1AW1002RMONTB,EL2-SMT,EL2C4,PWB S-ASSY1A/W1002R/MONT/BOT
8395806501,PWBSASY1AW1001RMONTB,EL2-SMT,EL2C4,PWB S-ASSY1A/W1001R/MONT/BOT
3539094401,PWBSASYAW1004RMONTBO,EL2-SMT,EL2C4,PWB S-ASSY(A)/W1004R/MONT/BOT
7199635201,PWBSASYAW1003LMONTBO,EL2-SMT,EL2C4,PWB S-ASSY(A)/W1003L/MONT/BOT
6476269901,PWBSASY2AW1001LMONTB,EL2-SMT,EL2C4,PWB S-ASSY2A/W1001L/MONT/BOT
8471957900,T2AX RC PWB1 LH BOT,EL2-SMT,EL2C5,T2AX/KA2/TL/PWB 1/MONT/BOT-LH
1713196600,T2AX RC PWB2 LH BOT,EL2-SMT,EL2C5,T2AX/KA/TL/PWB 2/MONT/BOT-LH
1090422600,T2AX RC PWB1 RH BOT,EL2-SMT,EL2C5,T2AX/KA2/TL/PWB 1/MONT/BOT-RH
